Date,B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
2015-08-18,2585,3341,13149,34,6654,43,0
2015-08-19,2804,741,9222,6,4142,110,192
2015-08-20,2723,734,15081,35,9485,12,1200
2015-08-21,3531,235,17824,13,5291,90,5
2015-08-22,0,0,0,16,0,0,0
2015-08-23,0,0,94,0,0,0,0
2015-08-24,3271,639,9234,26,4417,70,0
2015-08-25,2995,2098,5525,29,1287,50,0
2015-08-26,3056,1477,9830,23,6495,3,4
2015-08-27,3851,2520,11582,95,8583,951,0
2015-08-28,3214,1777,10819,15,5383,0,0
2015-08-29,0,0,0,12,0,0,0
2015-08-30,0,30,0,0,0,0,0
2015-08-31,3799,319,8128,13,3910,10,0
2015-09-01,0,494,8548,9,4066,9,0
2015-09-02,2436,637,6116,60,1552,0,0
2015-09-03,2565,1786,11582,27,3270,13,0
2015-09-04,3323,1794,16012,14,5611,331,1392
2015-09-05,0,0,0,0,0,0,0
2015-09-06,3239,595,13393,37,9832,85,12
2015-09-07,2781,1612,9550,71,2818,322,240
2015-09-08,0,9,45,0,30,0,0
2015-09-09,4077,808,11116,33,1919,2,0
2015-09-10,4405,196,8056,30,3008,20,144
2015-09-11,3393,803,11893,9,4780,29,0
2015-09-12,3300,604,17780,37,10220,38,144
2015-09-13,0,0,0,0,0,0,0
2015-09-14,3753,350,7562,30,3156,0,0
2015-09-15,3397,517,8436,34,4902,5,0
2015-09-16,3441,582,17711,39,6042,252,144
2015-09-17,3003,575,14434,52,14271,22,2208
2015-09-18,2987,1675,24655,73,13257,16,0
2015-09-19,0,0,0,6,0,0,0
2015-09-20,0,0,0,0,0,0,0
2015-09-21,3535,650,23666,31,11544,98,96
2015-09-22,4194,1238,13587,71,6193,248,2
2015-09-23,3313,848,11775,12,4652,16,168
2015-09-24,3093,2228,8113,50,3284,10,0
2015-09-25,3029,2258,13310,8,2812,122,1248
2015-09-26,0,30,360,0,24,0,0
2015-09-27,0,0,0,0,0,0,0
2015-09-28,3261,8476,12661,495,4399,79,0
2015-09-29,2018,293,10657,36,4526,540,0
2015-09-30,1940,2079,24919,38,9856,79,144
2015-10-01,0,0,34,4,7,0,0
2015-10-02,2335,409,8757,16,2221,15,0
2015-10-03,2257,549,4825,23,1091,72,24
2015-10-04,2664,1183,8114,17,2633,143,0
2015-10-05,0,0,0,0,0,0,0
2015-10-06,2046,1430,10316,10,5406,200,0
2015-10-07,3685,1210,9864,33,4643,238,12
2015-10-08,4138,597,10378,9,4597,63,0
2015-10-09,3004,702,17044,26,6363,3,96
2015-10-10,0,0,0,0,0,0,0
2015-10-11,4100,301,7759,40,6120,83,0
2015-10-12,3176,1061,14052,27,10099,18,864
2015-10-13,4775,502,8578,37,2140,125,0
2015-10-14,3579,484,7237,371,4362,176,144
2015-10-15,4082,2045,17068,18,6497,0,2256
2015-10-16,2952,661,12328,99,8280,223,0
2015-10-17,0,0,0,6,0,0,0
2015-10-18,0,0,0,0,0,0,0
2015-10-19,3900,2489,13465,21,4696,132,1
2015-10-20,3076,901,5119,12,3939,105,0
2015-10-21,4659,729,15657,23,5039,319,384
2015-10-22,3600,1062,8650,24,3996,105,820
2015-10-23,3699,942,12162,117,5260,0,0
2015-10-24,0,0,336,0,0,0,0
2015-10-25,0,0,216,0,136,0,0
2015-10-26,2741,798,6130,80,5790,3,0
2015-10-27,3629,3031,10767,0,1871,738,0
2015-10-28,3368,1256,12630,31,6495,230,148
2015-10-29,3268,2072,9099,62,6222,429,336
2015-10-30,3792,605,12110,30,3985,11,193
2015-10-31,0,8000,0,6,0,0,240
2015-11-01,0,0,77,0,11,0,0
2015-11-02,2046,714,10651,136,3242,1,0
2015-11-03,2134,467,11796,24,9902,0,624
2015-11-04,0,0,0,0,0,0,0
2015-11-05,4032,442,7638,62,2608,118,0
2015-11-06,3930,512,11341,115,5501,75,482
2015-11-07,0,0,0,16,0,0,0
2015-11-08,3053,563,7029,49,4164,107,0
2015-11-09,4068,254,11825,12,2246,9,48
2015-11-10,0,0,0,0,0,0,0
2015-11-11,3340,1082,12454,37,4821,5,340
2015-11-12,3989,1578,12957,140,4546,156,24
2015-11-13,4120,711,13307,39,3625,215,0
2015-11-14,0,0,0,0,0,0,0
2015-11-15,0,0,0,0,0,0,0
2015-11-16,4011,795,10534,39,5746,131,0
2015-11-17,3793,168,7024,49,2862,135,0
2015-11-18,4712,424,17503,75,4200,83,168
2015-11-19,2975,8436,9482,9,3711,431,0
2015-11-20,5283,322,12704,47,4282,392,0
2015-11-21,0,0,0,6,0,0,0
2015-11-22,0,0,0,0,0,0,0
2015-11-23,3488,1184,12027,45,3839,15,0
2015-11-24,2694,759,8598,49,4328,103,0
2015-11-25,3270,774,11723,216,8826,32,0
2015-11-26,0,0,624,12,96,0,0
2015-11-27,18,0,0,0,60,0,0
2015-11-28,0,0,0,0,0,0,0
2015-11-29,0,0,0,0,0,0,0
2015-11-30,3223,1417,15105,15,5188,87,0
2015-12-01,336,881,4755,0,4158,229,0
2015-12-02,1516,2514,14056,62,5781,53,348
2015-12-03,1280,1149,18735,1,7294,0,49
2015-12-04,0,0,0,0,44,0,0
2015-12-05,2589,708,4763,26,3064,17,1
2015-12-06,3737,1491,18181,18,8889,15,0
2015-12-07,0,0,0,0,0,0,0
2015-12-08,3999,976,15699,29,7092,54,336
2015-12-09,0,0,0,6,288,0,0
