B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
0,0,0,0,0,0,0
2724,794,9641,11,4044,229,192
3005,1195,9318,38,5660,194,721
0,0,0,0,0,0,0
5422,1214,12023,30,3990,459,0
5029,577,7620,21,3726,331,192
0,0,0,0,0,0,0
4375,728,9639,6,3942,96,336
0,0,0,0,0,0,0
3283,2556,12005,221,0,29,0
4337,3438,11957,121,3109,37,0
0,0,0,0,0,0,0
0,0,63,0,0,0,0
3124,1208,14883,13,6308,110,1
2104,309,8471,37,4940,150,0
4578,1120,22286,52,5142,136,240
3201,2297,9026,115,6874,229,1296
647,1070,9900,63,6540,202,0
0,0,0,12,0,0,0
0,0,0,0,0,0,0
3886,377,16055,76,1982,54,0
2310,535,7660,45,2942,993,0
4800,949,17553,18,10062,161,0
3753,1630,16374,19,6431,256,24
36,660,16986,15,5245,550,0
0,0,0,4,0,0,0
0,0,0,3,0,0,0
2922,716,5644,226,2335,50,0
4410,482,9201,65,3658,312,0
4851,640,11824,45,6394,81,384
4837,796,25793,48,5824,171,1152
3050,3027,7778,9,4342,25,864
3397,1849,12945,43,2532,180,1539
4008,301,14746,51,6746,241,0
5752,1745,15307,7,5800,132,0
2354,1098,18682,132,5668,201,144
0,0,0,9,0,0,0
0,1,96,0,0,0,0
3356,1454,8069,90,4205,107,0
0,0,0,0,0,0,0
2850,1200,11176,40,0,684,0
4149,795,14527,30,9882,221,0
0,0,0,0,0,0,0
3414,1312,12193,12,4309,52,24
1640,1284,16504,15,6129,70,1248
3261,782,13363,16,5582,242,0
0,0,0,6,0,0,0
0,46,0,0,0,0,0
2883,1098,14449,3,3134,66,0
3244,487,6263,39,2681,93,0
3143,2996,9502,163,3560,35,432
3100,3182,9852,45,4452,1265,1346
1194,359,10202,42,4413,10,0
0,0,0,0,0,0,0
0,12,96,0,39,0,0
1980,583,14372,75,6101,262,0
2646,787,6737,286,4946,258,0
4100,569,16534,42,4502,89,336
3812,2862,15645,272,6350,346,0
3624,352,16353,22,5530,25,144
0,0,0,0,0,0,0
3078,1735,9760,63,3017,18,0
2685,420,9432,55,3926,99,0
0,0,0,0,0,0,0
5227,917,10893,142,3737,307,0
4266,1338,7680,35,5011,117,1393
0,0,0,0,0,0,0
2456,791,13828,80,2443,64,0
4097,979,12170,31,5137,115,360
0,0,0,0,0,0,0
3602,722,12567,37,0,27,144
0,0,180,0,2208,0,0
4799,1179,14448,33,5392,5,0
4264,491,13496,150,3316,18,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4640,1590,13441,77,4283,287,0
4814,520,5978,28,8225,229,0
4157,680,16711,70,4820,517,240
3901,3855,8218,24,7044,438,1153
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,7,0,0,0
2492,0,1795,0,728,4,0
3956,634,9182,62,1244,882,0
3414,3749,23401,37,4936,0,0
5148,3574,31371,293,16345,0,2119
4532,727,17646,15,5580,73,0
0,15,69,0,0,0,0
0,0,0,0,0,0,0
0,0,1056,0,0,0,0
4129,1679,12170,46,5685,22,0
2079,803,21619,42,5533,279,0
0,0,0,0,0,0,0
0,0,66,0,0,0,0
5130,1427,16217,42,5617,26,240
3363,676,13545,36,4624,5,192
3871,908,7568,33,2087,225,0
4300,439,16227,10,11524,3,0
0,0,24,0,0,0,0
4089,861,11668,12,2428,144,0
2507,1398,9589,11,1258,30,0
0,0,0,0,0,0,0
3584,1151,18585,28,6831,26,0
3249,1719,16276,125,12393,61,0
4328,919,15892,44,3579,464,0
2642,1656,10254,44,4368,72,480
5495,1529,10194,14,3445,0,768
4057,3018,8939,84,1816,3,0
0,0,30,6,0,0,0
0,0,0,0,0,0,0
3059,343,9839,85,5692,691,480
3155,1575,10052,26,3876,902,120
3174,1491,14531,29,6637,45,148
3335,364,9032,4,4108,61,0
3142,491,9119,9,3743,52,192
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4604,1823,12270,27,5720,287,0
3169,648,6603,126,4328,114,0
3125,759,13102,16,7269,63,0
3735,1420,10409,152,2451,25,1344
1330,1377,10491,32,5368,98,0
0,0,0,0,0,0,0
3067,396,8309,21,2284,114,0
3454,1521,10024,94,4333,111,1200
16,0,0,0,0,0,0
3283,803,8134,34,3005,372,36
3731,2046,19495,45,9507,45,1632
0,0,0,0,0,0,0
2730,583,22742,227,8178,59,0
2636,14530,16248,162,2777,35,252
4269,854,4749,6,2271,204,0
2343,1078,15514,18,4147,114,384
3647,811,9075,66,3976,87,240
3845,923,11061,31,3204,271,0
3793,944,7134,41,6629,47,0
0,0,0,0,0,0,0
0,0,49,0,0,0,0
3813,1433,15567,12,10526,24,0
3276,341,10544,56,2340,8,0
3544,1487,13404,105,4932,1,148
2865,1875,12670,74,4196,1008,960
3607,670,11687,26,3799,253,0
0,50,0,18,0,0,0
0,0,0,0,0,0,0
3761,718,9564,132,5005,52,0
3803,159,5866,53,1606,0,0
3403,542,11352,48,6116,156,8
1790,854,12813,312,6888,3,1152
0,384,7116,24,3440,74,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4627,454,7320,18,1613,59,60
